feature,importance
omb,4.1877826026170864e-05
ha,4.0787601314088075e-05
ou,4.007848088183181e-05
in(,3.985929166379673e-05
 ha,3.9091105116172726e-05
 p,3.8708788348571376e-05
'%,3.827856052000769e-05
swo,3.823016017039417e-05
n)),3.822389801038835e-05
hm,3.719867868564645e-05
us,3.651603620030024e-05
--),3.632767975767425e-05
py,3.60597361286688e-05
edu,3.4543236259811246e-05
!,3.432457672849466e-05
su,3.394020814000621e-05
"n,m",3.3691230575150546e-05
n)=,3.350246041068213e-05
)),3.3372638717729475e-05
me,3.321442577200946e-05
an,3.295881145258479e-05
chm,3.281349164421682e-05
ssi,3.2725207985513404e-05
_n,3.26342012701472e-05
hav,3.225159995330127e-05
" """,3.205568906057767e-05
it ,3.203407675687215e-05
 n),3.202377880338652e-05
:n:,3.121186123954592e-05
""";",3.0766050681057045e-05
in',3.049496523818895e-05
ure,3.0353257072253684e-05
ee,3.0325415930688988e-05
\,3.0169726733325802e-05
wo,3.011999399753669e-05
atu,2.9807160202420317e-05
yt,2.9414469751669194e-05
ing,2.930433583426453e-05
=' ,2.9301589333226743e-05
 ad,2.862389772232257e-05
<= ,2.804964316734527e-05
=n),2.8021181691914913e-05
",n,",2.754695910488234e-05
d5,2.745191555425182e-05
a.,2.739580887866556e-05
che,2.733070944789679e-05
d',2.7048736913751512e-05
(o,2.695085758570859e-05
ay,2.6727659917359473e-05
pit,2.661569083723204e-05
(n/,2.6484004859801288e-05
on_,2.629573133088292e-05
n/n,2.615292805249832e-05
%'s,2.5588205851428025e-05
" "" ",2.521821209923471e-05
 a,2.4926581399399485e-05
'%',2.4778826666853266e-05
 h,2.477516388614278e-05
'py,2.363993777481892e-05
r(,2.363321714237237e-05
no,2.298431387532915e-05
ass,2.2707424703787544e-05
!= ,2.2531027927556713e-05
nt,2.2454333968705184e-05
del,2.2008673318224177e-05
""")",2.1801703154472877e-05
or_count,2.177295975898527e-05
pyt,2.1701753767491208e-05
sw,2.1516136019910215e-05
5,2.1360376610245806e-05
 cr,2.1346437306814782e-05
min,2.086843890847702e-05
(*),2.0582963126537417e-05
pas,2.0541340292980032e-05
"e,",2.04141718511254e-05
aym,2.034900389680743e-05
unt,2.0014074277489675e-05
 is,1.9759967471399114e-05
ts,1.9652064143213857e-05
* ,1.9633816127675037e-05
ra,1.96299163181166e-05
has_create,1.93868931963678e-05
ns,1.933847356733408e-05
ess,1.9065210743677332e-05
cco,1.901479236608557e-05
_ma,1.894963294193714e-05
ial,1.8902309054799374e-05
n/,1.8507389732664734e-05
/n,1.8459691097465128e-05
kl,1.8190036992698544e-05
mb,1.8128727092025043e-05
(sl,1.8031510562522887e-05
t(*,1.736116325782484e-05
n_s,1.7340025780644136e-05
%',1.7285382690815748e-05
not,1.7209148457912065e-05
md5,1.6836461608356058e-05
e) ,1.676450988448715e-05
 pg,1.6736895115675056e-05
 * ,1.6565946233206377e-05
n)#,1.6476814411974355e-05
)#,1.6225245105879923e-05
ct(,1.616094738937813e-05
%,1.5979054379879266e-05
ndo,1.583376425597675e-05
x(p,1.5633134618368967e-05
has_insert,1.5458030332439367e-05
i ,1.5226252067301058e-05
(an,1.5199516137638972e-05
&&s,1.508427868914085e-05
'pk,1.480803375332373e-05
ser,1.4731598155562841e-05
"e, ",1.4587169614588933e-05
pa,1.4266738646880043e-05
ced,1.4075286496995293e-05
has_benchmark,1.4017482766534722e-05
 );,1.389752667005405e-05
ssw,1.3862161639234204e-05
nc,1.3756828505021243e-05
 pa,1.374345737952421e-05
ion,1.3711418152579126e-05
xi,1.3648137971790413e-05
ts ,1.3552715929270659e-05
ede,1.3537988933899473e-05
wor,1.342738633334052e-05
"n,",1.3154082523934987e-05
 v,1.3118903850589343e-05
 m,1.3094711238520456e-05
si,1.2892600207675037e-05
"at,",1.2810526653987491e-05
v,1.2759853393016734e-05
enc,1.2670247229461474e-05
n(c,1.2485550837436688e-05
ym,1.2335275298416535e-05
"n,n",1.1860506403508909e-05
ti ,1.1812647715358343e-05
do,1.1637022663732347e-05
(*,1.1225251426232739e-05
not_count,1.120148977767559e-05
ot,1.1103335809044179e-05
 %,1.085621971390483e-05
ap,1.084822923807074e-05
s'%,1.082965728942145e-05
nj,1.0813020927003782e-05
rds,1.0548007837267095e-05
bst,1.0418632042743849e-05
(pr,1.0403219538288043e-05
()),9.91820898663782e-06
io,9.903307045559512e-06
ran,9.700446833396527e-06
lit,9.66769372442013e-06
tr,9.646481431603834e-06
#) ,9.547295223672915e-06
vi,9.491918460881481e-06
klz,9.46935395184614e-06
nts,8.886285636929358e-06
tra,8.739787064592544e-06
ans,8.648860778137542e-06
5(n,8.632989180483224e-06
ver,8.631124618160357e-06
es,8.61294155206725e-06
inj,8.575629157912267e-06
g,8.540237931429448e-06
 + ,8.42798162519462e-06
ce),8.306809700613906e-06
je,8.245915949431502e-06
to,8.216681066887051e-06
ss,8.197298065964554e-06
ons,8.065005201322613e-06
ye,8.016350706544506e-06
is,7.980626488658227e-06
"n, ",7.958403524303582e-06
nti,7.956258549562e-06
mar,7.92324870384133e-06
sio,7.769398962783198e-06
tia,7.685505660103157e-06
:n',7.64097196066812e-06
tx,7.600594657774138e-06
ty ,7.593238659631178e-06
ub,7.575321545769873e-06
'#,7.478782393896265e-06
tri,7.446581753277345e-06
un,7.4453808003695195e-06
rs,7.366340068408373e-06
*),7.152027957059686e-06
(id,7.137373998153502e-06
ty,7.050280638200373e-06
as,6.973880845795933e-06
",m",6.593477018455913e-06
